#{"t_start": 1705046947.592046, "env_id": "match3-wide-v0"}
r,l,t
250,33,5690.403874
600,32,5694.731236
350,124,5700.376479
350,18,5700.59381
550,71,5701.582842
350,28,5705.876672
250,19,5706.151415
150,18,5706.447555
150,34,5706.883181
350,21,5707.181684
400,22,5707.517887
350,20,5711.747061
550,39,5712.33726
350,19,5712.572428
250,23,5712.957715
150,37,5717.512832
450,21,5717.855912
300,35,5718.337682
300,47,5719.01197
250,21,5723.229826
350,32,5723.695482
200,34,5724.139945
450,22,5724.496454
450,18,5724.701622
300,19,5729.010336
400,113,5730.750408
300,84,5735.896816
250,23,5736.230805
450,29,5736.669353
300,24,5740.961903
350,47,5741.622729
0,15,5741.870024
150,94,5747.206456
350,56,5748.081402
300,42,5752.586944
400,26,5752.969599
150,30,5753.408816
450,60,5758.154403
250,23,5758.502824
400,119,5764.142275
400,25,5764.493162
150,18,5764.774241
350,25,5765.233576
400,20,5765.559759
200,25,5769.788917
500,15,5770.041915
350,40,5770.669156
450,46,5771.266896
400,27,5775.592565
300,19,5775.895438
400,25,5776.23039
300,19,5776.53998
400,127,5782.47695
250,21,5782.806233
250,18,5783.092613
300,22,5783.413132
250,24,5787.69632
500,24,5788.074757
500,30,5788.536126
250,19,5788.850083
300,64,5793.720161
200,50,5794.430082
150,51,5799.01484
300,35,5799.597906
200,17,5799.805857
200,47,5800.564987
150,27,5804.957864
400,18,5805.235344
250,19,5805.543186
250,16,5805.765804
350,19,5806.053053
250,35,5806.593172
450,19,5810.794969
100,121,5812.514007
300,42,5816.988999
250,16,5817.182997
100,82,5822.392021
250,16,5822.605267
200,54,5823.49046
300,29,5823.864402
400,24,5828.172164
450,20,5828.514354
400,15,5828.712221
100,56,5829.586967
250,27,5829.987116
300,20,5834.158067
350,22,5834.490001
250,136,5840.369452
350,15,5840.631649
350,77,5845.677495
300,33,5846.108204
400,16,5846.362288
200,55,5847.126047
450,39,5851.629139
600,19,5851.93503
550,66,5852.890907
300,59,5857.712068
300,20,5858.009143
350,19,5858.319048
400,74,5863.372234
250,16,5863.569124
600,40,5864.153527
300,17,5864.424538
450,19,5864.697566
600,43,5869.260149
300,22,5869.555374
250,77,5870.71036
400,20,5874.936866
500,70,5875.940253
250,21,5876.223599
400,156,5886.18285
550,28,5886.590907
200,24,5886.904002
300,221,5897.805588
300,55,5898.662606
400,60,5903.389702
500,17,5903.59312
500,18,5903.860448
150,22,5904.171456
250,17,5904.436524
400,31,5904.858155
400,51,5909.471198
150,44,5910.080081
400,23,5910.401752
150,86,5915.452076
200,15,5915.682223
250,202,5926.330932
300,20,5926.626918
250,63,5927.47334
300,99,5932.840771
300,57,5937.631851
200,64,5938.487008
450,17,5938.755714
200,24,5939.138359
400,27,5943.529424
400,39,5944.082781
150,24,5944.462116
500,215,5955.242788
350,15,5955.499569
450,61,5956.375076
500,33,5960.897862
350,40,5961.471386
450,36,5961.994099
350,47,5966.495282
400,112,5968.068559
100,41,5972.664173
150,60,5973.549134
300,25,5973.910635
250,16,5978.07135
350,34,5978.564129
50,43,5979.181147
650,57,5983.912791
250,24,5984.262184
250,33,5984.794514
350,161,5990.860381
550,17,5991.112039
250,49,5995.643128
450,15,5995.904523
400,29,5996.318614
350,65,6001.082909
300,169,6007.38519
550,26,6007.766427
450,55,6012.481438
450,141,6018.399143
250,65,6019.365862
50,32,6023.746356
350,40,6024.339841
600,19,6024.615341
250,25,6025.019008
450,49,6029.563215
400,23,6029.954878
300,30,6030.39201
300,64,6031.278187
300,150,6041.376182
200,31,6041.802564
300,37,6042.358675
250,20,6042.632149
500,20,6042.897535
550,22,6047.091847
500,31,6047.543195
400,15,6047.767215
150,18,6048.026064
550,17,6048.230284
450,28,6052.673208
450,67,6053.693609
150,17,6053.900563
300,42,6054.532753
350,68,6059.302396
150,16,6059.544298
300,20,6059.821442
250,32,6064.140144
350,67,6065.117452
400,24,6065.445087
600,78,6070.567404
250,23,6070.879308
250,42,6071.553863
300,17,6075.693167
300,32,6076.191817
200,16,6076.386063
550,31,6076.829465
350,31,6077.248407
350,57,6082.070333
150,245,6093.249588
250,24,6093.588444
200,49,6094.300542
400,37,6098.723777
150,181,6105.267604
450,33,6105.736856
350,37,6110.295502
200,24,6110.649296
450,24,6110.978578
400,41,6111.609451
300,25,6111.938369
250,96,6117.117275
350,80,6122.193584
600,23,6122.524682
200,42,6123.137476
450,26,6127.576693
350,29,6127.983683
450,25,6128.335494
300,16,6128.605472
350,58,6133.500497
450,23,6133.794326
200,30,6134.218867
450,15,6134.422611
150,36,6134.944386
350,37,6139.393208
450,101,6140.855414
500,18,6144.991887
400,44,6145.578808
250,28,6145.96711
250,49,6150.591085
100,24,6150.890613
250,73,6151.908359
300,20,6152.201181
300,28,6156.568399
450,17,6156.848178
300,36,6157.364402
300,45,6158.057879
200,18,6162.273579
300,20,6162.593621
500,43,6163.211067
300,35,6163.718611
200,28,6167.975044
500,24,6168.385323
350,26,6168.725555
600,22,6169.073469
350,44,6169.643086
250,24,6173.898791
250,135,6179.885908
400,284,6191.723172
500,35,6192.264334
150,42,6196.779495
350,183,6203.182136
600,996,6247.928073
250,135,6253.629222
100,124,6259.310056
300,23,6259.617054
300,31,6260.012196
250,24,6260.390491
300,67,6265.179563
250,50,6265.801586
350,25,6266.154359
500,20,6270.376138
100,36,6270.826622
200,39,6271.414466
200,30,6271.824929
450,17,6276.048327
200,37,6276.581811
250,34,6277.038457
400,35,6277.586648
400,94,6282.798087
400,25,6283.128337
300,17,6283.38656
300,30,6287.77063
350,231,6294.979269
300,47,6299.525564
450,39,6300.061314
400,36,6300.514855
400,38,6304.983036
300,208,6311.759923
600,55,6316.434751
450,56,6317.173556
400,38,6321.614979
350,39,6322.157619
550,22,6322.459737
250,607,6350.334867
350,35,6350.832954
700,21,6351.128632
350,18,6351.406747
300,21,6351.722398
500,23,6355.951751
400,22,6356.25117
300,36,6356.716534
500,32,6357.189219
350,19,6361.340442
550,27,6361.76647
350,27,6362.152735
300,32,6362.616932
350,28,6363.026738
350,31,6367.375716
400,34,6367.801808
300,28,6368.180441
300,32,6368.590442
200,23,6372.863975
550,26,6373.197358
350,63,6374.092591
